Document samples/pg2701.txt
sleeplessness 1 0.477121
fathoms 13 6.20258
toasted 1 0.477121
boarded 6 1.05655
heed 7 3.33985
sometimes 87 15.3199
idolatrous 1 0.477121
university 1 0.176091
enemies 2 0.352183
signs 15 2.64137
irrational 1 0.477121
deliver 3 1.43136
upon 568 0
sinks 1 0.477121
mole 3 1.43136
devils 17 2.99355
blacksmith 22 10.4967
foundering 3 1.43136
inscrutably 1 0.477121
save 15 2.64137
refill 3 1.43136
faintly 3 1.43136
indiaman 1 0.477121
actions 2 0.352183
appears 8 0
causes 3 0.528274
lodgings 1 0.477121
lashings 2 0.954243
impunity 1 0.477121
yards 27 4.75446
gait 2 0.954243
uncounted 3 1.43136
deaf 3 1.43136
refuse 6 1.05655
doubted 5 2.38561
inlanders 1 0.477121
devotee 1 0.477121
inns 3 1.43136
saco 1 0.477121
daring 8 1.40873
religious 2 0.954243
fetches 1 0.477121
boundary 1 0.477121
brisson 1 0.477121
warrant 2 0.352183
raimond 1 0.477121
ice 27 4.75446
library 3 0
court 2 0.352183
atlantics 1 0.477121
eastward 10 4.77121
decency 1 0.477121
swedish 1 0.176091
casualty 3 1.43136
predicament 1 0.477121
gall 2 0.954243
gulp 2 0.954243
nor 156 27.4702
feel 57 10.0372
anyone 6 0
your 258 0
greatest 12 2.1131
signifies 2 0.954243
persecutions 1 0.176091
agreed 4 0
pocketing 1 0.477121
freshet 2 0.954243
brahmins 1 0.477121
graceful 4 1.90849
medicinally 1 0.477121
sunrise 11 5.24833
corals 1 0.477121
sphinx 1 0.477121
raphael 1 0.176091
pikes 2 0.954243
proper 32 5.63492
beat 25 4.40228
income 2 0.954243
coming 54 9.50893
moidores 1 0.477121
puissant 1 0.176091
papers 10 4.77121
buckets 6 2.86273
vats 1 0.176091
catched 1 0.477121
recur 1 0.477121
unchristian 1 0.477121
englander 1 0.477121
relief 6 2.86273
colt 8 3.81697
clamorous 1 0.477121
quite 41 7.21974
straightway 13 2.28919
eighty 4 1.90849
corn 5 2.38561
tore 13 2.28919
elm 1 0.477121
imparting 1 0.477121
wounded 9 1.58482
clotting 1 0.477121
cattle 6 2.86273
clinging 9 4.29409
dishes 1 0.176091
clove 1 0.477121
letter 15 7.15682
conspire 1 0.477121
prepared 12 0
preceded 2 0.954243
spout 61 29.1044
comely 1 0.477121
tongue 11 5.24833
interruption 2 0.954243
involuntarily 12 5.72546
absorbed 4 1.90849
begin 12 5.72546
burglar 3 1.43136
congo 2 0.954243
voyagings 3 1.43136
etexts 1 0.477121
psalms 2 0.954243
slippering 1 0.477121
exceeding 12 5.72546
wert 4 0.704365
census 5 2.38561
hobomack 1 0.477121
congratulate 1 0.477121
secrecy 2 0.954243
pacific 35 16.6992
dauntlessness 1 0.477121
clad 1 0.176091
ridge 5 2.38561
piercing 4 1.90849
holes 9 4.29409
t 291 0
judgment 11 1.937
centralization 1 0.477121
viciously 2 0.954243
shakes 5 2.38561
ministry 1 0.477121
bailiff 1 0.477121
mr 63 30.0586
